Idx	Game	Released	Price	Userscore	Owners	Playtime
103	Assassin's Creed Freedom Cry	Feb 25, 2014	$14.99	79% (N/A)	86,395 ±7,080	06:03 (03:42)
23	Tom Clancy's Ghost Recon: Desert Siege	Jul 15, 2008	$4.99	N/A (82%)	85,026 ±7,024	02:19 (00:16)
39	Brothers in Arms: Hell's Highway	Oct 8, 2008	$9.99	N/A (79%)	78,942 ±6,768	08:10 (03:51)
104	Silent Hunter 5: Battle of the Atlantic	Mar 2010	$9.99	N/A (N/A)	71,945 ±6,461	28:03 (10:50)
10	Brothers in Arms: Road to Hill 30	May 13, 2008	$9.99	N/A (87%)	71,641 ±6,447	05:24 (01:55)
50	ShootMania Storm	Apr 10, 2013	$19.99	89% (76%)	70,272 ±6,385	29:34 (03:59)
109	TrackMania Valley	Jul 4, 2013	$19.99	N/A (N/A)	68,751 ±6,316	04:53 (01:29)
18	Brothers in Arms: Earned in Blood	Oct 10, 2008	$9.99	N/A (84%)	65,557 ±6,168	05:25 (00:56)
94	Assassins Creed Chronicles: China	Apr 21, 2015	$9.99	68% (N/A)	65,557 ±6,168	03:22 (01:43)
66	Tom Clancy's EndWar	Feb 25, 2009	$9.99	N/A (68%)	63,123 ±6,052	05:51 (01:57)
38	Silent Hunter: Wolves of the Pacific	Jun 13, 2008	$9.99	N/A (79%)	60,689 ±5,934	15:44 (04:26)
54	Assassin's Creed Rogue	Mar 9, 2015	$39.99	88% (74%)	57,343 ±5,768	25:34 (16:45)
80	Tom Clancy's Rainbow Six: Lockdown	May 13, 2008	$9.99	N/A (59%)	53,845 ±5,590	02:22 (00:34)
24	Dawn of Discovery	Jun 23, 2009	$9.99	N/A (82%)	50,498 ±5,413	28:29 (06:54)
99	Silent Hunter: Wolves of the Pacific U-Boat Missions	Jun 13, 2008	$9.99	N/A (N/A)	35,288 ±4,525	18:07 (04:25)
69	The Settlers: Rise of an Empire Gold Edition	Oct 10, 2008	$19.99	N/A (66%)	32,246 ±4,326	30:43 (11:36)
74	ZOMBI	Aug 18, 2015	$19.99	64% (65%)	25,097 ±3,816	06:19 (03:10)
98	Babel Rising	Aug 7, 2012	$9.99	N/A (N/A)	21,903 ±3,565	01:22 (00:47)
86	Flashback	Oct 1, 2013	$9.99	N/A (N/A)	20,382 ±3,439	05:21 (03:54)
77	Driver: Parallel Lines	Feb 13, 2009	$9.99	N/A (61%)	19,469 ±3,361	07:39 (02:42)
67	Cloudberry Kingdom	Aug 2, 2013	$9.99	N/A (67%)	19,013 ±3,322	05:28 (02:28)
59	Blazing Angels 2: Secret Missions of WWII	May 13, 2008	$9.99	N/A (72%)	18,709 ±3,295	07:34 (01:01)
72	Blazing Angels: Squadrons of WWII	May 13, 2008	$9.99	N/A (65%)	18,557 ±3,281	02:48 (00:13)
81	The Settlers: Heritage of Kings	Jul 22, 2008	$9.99	N/A (58%)	18,557 ±3,281	12:15 (03:24)
106	Mad Riders	May 30, 2012	$9.99	N/A (N/A)	14,602 ±2,911	02:30 (00:38)
70	Cold Fear	May 13, 2008	$9.99	N/A (66%)	12,472 ±2,690	03:14 (01:03)
82	Rayman: Raving Rabbids	Jun 13, 2008	$9.99	N/A (58%)	10,799 ±2,503	02:11 (01:10)
58	Zeit	Jan 12, 2011	$9.99	N/A (72%)	10,039 ±2,413	01:05 (00:29)
96	Petz Horsez 2	Jun 13, 2008	$9.99	N/A (N/A)	9,583 ±2,358	08:55 (01:40)
79	Toy Soldiers: War Chest	Aug 12, 2015	$14.99	N/A (60%)	7,605 ±2,101	07:45 (05:45)
101	Petz Catz 2	Jun 13, 2008	$9.99	N/A (N/A)	6,997 ±2,015	03:51 (01:14)
105	Petz Dogz 2	Jun 13, 2008	$9.99	N/A (N/A)	4,715 ±1,654	06:09 (04:27)
73	Heroes Over Europe	Sep 22, 2009	$9.99	N/A (65%)	4,107 ±1,543	05:41 (05:20)
60	The Sum of All Fears	Oct 10, 2008	$9.99	N/A (72%)	3,042 ±1,328	00:37 (00:36)
107	Brain Spa	Oct 10, 2008	$9.99	N/A (N/A)	2,586 ±1,225	01:48 (00:40)
100	Voodoo Dice	Jul 15, 2010	$4.99	N/A (N/A)	1,065 ±786	00:39 (00:51)
